,Name,Desc,rarity,img name icon,img full,img feature,season,tier,included in,promo,vbucks,price,challenge,style,set,type,status
91,Battle Royale,Concept art,UNCOMMON,battle-royale,battle-royale,null,3,30,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
92,Battle Shroud,Shrouded in mystery,LEGENDARY,battle-shroud,null,null,0,0,Omen,null,0,0.00,null,null,Overseer Set,BACKBLING,RELEASED
93,BattleHawk,Swoop in and claim victory.,EPIC,battlehawk,battlehawk,null,4,1,null,null,0,0.00,null,null,Advanced Forces Set,OUTFIT,RELEASED
94,Beach Ball,Summer fun!,RARE,beach-ball,null,null,5,43,null,null,0,0.00,null,null,null,TOY,RELEASED
95,Beach Umbrella,Bask in victory. Relax in the shade.,COMMON,beach-umbrella,null,null,0,0,null,null,0,0.00,Victory Season 5,null,null,GLIDER,RELEASED
96,Bear Force One,It's so fluffy!,EPIC,bear-force-one,null,null,0,0,null,null,1500,0.00,null,null,Royale Hearts Set,GLIDER,RELEASED
97,Beef Boss,Victory well done.,EPIC,beef-boss,beef-boss,beef-boss,0,0,null,null,1500,0.00,null,null,Durr Burger Set,OUTFIT,RELEASED
98,Best Mates,Who's your best mate?,RARE,best-mates,null,null,3,63,null,null,0,0.00,null,null,null,DANCE,RELEASED
99,Birdhovel,Keep your enemies close.,EPIC,birdhovel,null,null,0,0,Straw Ops,null,0,0.00,null,null,Straw Stuffed Set,BACKBLING,RELEASED
100,Birthday Cake,Piece of cake.,RARE,birthday-cake,null,null,0,0,null,null,0,0.00,Fortnite 1st Birthday Challenges,null,null,BACKBLING,RELEASED
101,Bitemark,Take abit out of the competition.,EPIC,bitemark,null,null,0,0,null,null,1200,0.00,null,null,Dino Guard Set,HARVESTINGTOOL,RELEASED
102,Black Cat,Express yourself on the battlefield,UNCOMMON,black-cat,null,null,6,51,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
103,Black Knight,The odious scourge of Wailing Woods,LEGENDARY,black-knight,black-knight,black-knight,2,70,null,null,0,0.00,null,null,Fort Knights Set,OUTFIT,RELEASED
104,Black Shield,The Black Knight's legendary shield.,LEGENDARY,black-shield,null,null,0,0,Black Knight,null,0,0.00,null,null,Fort Knights Set,BACKBLING,RELEASED
105,Bladed Wings,Wings with edge.,LEGENDARY,bladed-wings,null,null,0,0,Shogun,null,0,0.00,null,null,Shogun Set,BACKBLING,RELEASED
106,Blast from the Past,"After stumbling across a long lost relative, we all became part of the family.",UNCOMMON,blast-from-the-past,blast-from-the-past,null,0,0,null,null,0,0.00,Road Trip Challenges,null,Road Trip Set,LOADINGSCREEN,RELEASED
107,Blasting Cap,It's a blast!,EPIC,blasting-cap,null,null,0,0,Fireworks Team Leader,null,0,0.00,null,null,Stars and Striped Set,BACKBLING,RELEASED
108,Blaze,Glide down in a blaze of glory!,UNCOMMON,blaze,null,null,0,0,null,null,500,0.00,null,null,Biker Brigade Set,GLIDER,RELEASED
109,Blitz,Catch 'em off guard.,EPIC,blitz,null,blitz,0,0,null,null,1500,0.00,null,Nation Football League Team Style,Fourth Down,OUTFIT,RELEASED
110,Blue Shift,Brilliantly Blue.,EPIC,blue-shift,null,null,0,0,Blue Striker,Playstation Plus,0,0.00,null,null,null,BACKBLING,RELEASED
111,Blue Squire,The bold warrior of Moisty Mire.,RARE,blue-squire,blue-squire,blue-squire,2,1,null,null,0,0.00,null,null,Fort Knights Set,OUTFIT,RELEASED
112,Blue Streak,Like a bolt from the blue!,RARE,blue-streak,null,null,0,0,null,Playstation Plus,0,0.00,null,null,null,GLIDER,RELEASED
113,Blue Striker,Make victory your reality.,EPIC,blue-striker,blue-striker,null,0,0,null,Playstation Plus,0,0.00,null,null,null,OUTFIT,RELEASED
114,Blue Team Leader,Lead your squad to victory.,RARE,blue-team-leader,blue-team-leader,null,0,0,null,Playstation Plus,0,0.00,null,null,null,OUTFIT,RELEASED
115,Bogey Bag,You've got a bogey on your six.,EPIC,bogey-bag,null,null,0,0,Wingman,Fortnite Starter Pack 2,0,0.00,null,null,Volume 11 Set,BACKBLING,RELEASED
116,Bombastic,Step up and show 'em what you've got,RARE,bombastic,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
117,Boneless,Beyond bendy.,RARE,boneless,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
118,Bonesy,A loyal companion,EPIC,bonesy,null,null,6,12,null,null,0,0.00,null,Bonesy Style,null,PET,RELEASED
119,Boogie,Leave your mark.,UNCOMMON,boogie,null,null,5,12,null,null,0,0.00,null,null,null,SPRAY,RELEASED
120,Boogie Down,Boogie down with Populotus.,EPIC,boogie-down,null,null,0,0,null,null,0,0.00,Enable 2FA,null,null,DANCE,RELEASED
121,Boombox,Blast it.,EPIC,boombox,null,null,0,0,Mullet Marauder,null,0,0.00,null,null,Spandex Squad Set,BACKBLING,RELEASED
122,Boombox,Express yourself on the battlefield.,UNCOMMON,boombox,null,null,3,18,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
123,Bottom Feeder,From the murky depths!,EPIC,bottom-feeder,null,null,0,0,null,null,1500,0.00,null,null,null,HARVESTINGTOOL,RELEASED
124,Brawler,Rare brawler outfit.,RARE,brawler,brawler,null,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
125,Breakdown,Break it down.,EPIC,breakdown,null,null,5,95,null,null,0,0.00,null,null,null,DANCE,RELEASED
126,Breakin,Bust a move!,EPIC,breakin,null,null,0,0,null,null,800,0.00,null,null,null,DANCE,RELEASED
127,Breaking Point,Give 'em a break.,UNCOMMON,breaking-point,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
128,Brilliant Striker,Strike true.,RARE,brilliant-striker,brilliant-striker,brilliant-striker,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
129,Bring It,Let's see what you've got.,UNCOMMON,bring-it,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
130,Brite Bag,Don't forget to pack a smile!,EPIC,brite-bag,null,null,0,0,Brite Gunner,null,0,0.00,null,null,Sunshine and Rainbows Set,BACKBLING,RELEASED
131,Brite Bomber,The future looks bright…,RARE,brite-bomber,brite-bomber,brite-bomber,0,0,null,null,1200,0.00,null,null,Sunshine and Rainbows Set,OUTFIT,RELEASED
132,Brite Gunner,Look on the bright side.,EPIC,brite-gunner,brite-gunner,brite-gunner,0,0,null,null,1500,0.00,null,null,Sunshine and Rainbows Set,OUTFIT,RELEASED
133,Brite Gunner,Concept art,UNCOMMON,brite-gunner,brite-gunner,null,4,85,null,null,0,0.00,null,null,Sunshine and Rainbows Set,LOADINGSCREEN,RELEASED
134,Brite Unicorn,Concept art,UNCOMMON,brite-unicorn,brite-unicorn,null,3,44,null,null,0,0.00,null,null,Sunshine and Rainbows Set,LOADINGSCREEN,RELEASED
135,Brush Your Shoulders,Get that dirt off your shoulder.,UNCOMMON,brush-your-shoulders,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
136,Bubbles,Freefall in style.,RARE,bubbles,null,null,3,69,null,null,0,0.00,null,null,null,CONTRAIL,RELEASED
137,Buckled,Buckle Up!,UNCOMMON,buckled,null,null,0,0,null,null,800,0.00,null,null,null,BACKBLING,RELEASED
138,Buckler,A battle-tested shield.,EPIC,buckler,null,null,0,0,Highland Warrior,null,0,0.00,null,null,Laoch Set,BACKBLING,RELEASED
139,Bullseye,Express yourself on the battlefield.,UNCOMMON,bullseye,null,null,2,17,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
140,Bunny Brawler,Hop into action.,EPIC,bunny-brawler,bunny-brawler,bunny-brawler,0,0,null,null,1500,0.00,null,null,Pastel Patrol Set,OUTFIT,RELEASED
141,Burgle Bag,Tools of the trade.,EPIC,burgle-bag,null,null,0,0,Rapscallion,null,0,0.00,null,null,Jailbird Set,BACKBLING,RELEASED
142,Burnout,All roads lead to victory.,EPIC,burnout,burnout,burnout,0,0,null,null,1500,0.00,null,null,RPM Set,OUTFIT,RELEASED
143,Bush,Express yourself on the battlefield.,UNCOMMON,bush,null,null,3,30,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
144,Cactus Maze,Leave your mark.,UNCOMMON,cactus-maze,null,null,6,54,null,null,0,0.00,null,null,null,SPRAY,RELEASED
145,Calamity,From ranch hand to righteous retribution,LEGENDARY,calamity,null,null,6,1,null,null,0,0.00,null,Calamity Style,Western Wilds Set,OUTFIT,RELEASED
146,Calamity,Concept art,UNCOMMON,calamity,calamity,null,6,4,null,null,0,0.00,null,null,Western Wilds Set,LOADINGSCREEN,RELEASED
147,Calamity,Leave your mark.,UNCOMMON,calamity,null,null,6,6,null,null,0,0.00,null,null,null,SPRAY,RELEASED
148,Calavera,Bare bones fashion.,EPIC,calavera,null,null,0,0,Rosa,null,0,0.00,null,null,Muertos Set,BACKBLING,RELEASED
149,Calculated,Think about it.,RARE,calculated,null,null,5,46,null,null,0,0.00,null,null,null,DANCE,RELEASED
150,Caliper,Unparralled precision.,UNCOMMON,caliper,null,null,0,0,null,null,500,0.00,null,null,Archetype Set,HARVESTINGTOOL,RELEASED
151,Camo,A brilliant buddy!,EPIC,camo,null,null,6,29,null,null,0,0.00,null,null,null,PET,RELEASED
152,Camper,Express yourself on the battlefield,UNCOMMON,camper,null,null,6,38,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
153,Candy Axe,Deck the walls with festive mayhem!,EPIC,candy-axe,null,null,0,0,null,null,1500,0.00,null,null,null,HARVESTINGTOOL,RELEASED
154,Capoeira,Are you ready to dance with danger?,RARE,capoeira,null,null,0,0,null,null,500,0.00,null,null,n,DANCE,RELEASED
155,Carbide,Heed the call to action.,LEGENDARY,carbide,carbide,null,4,1,null,null,0,0.00,null,Carbide Style,Carbide Set,OUTFIT,RELEASED
156,Carbide,Concept art,UNCOMMON,carbide,carbide,null,4,6,null,null,0,0.00,null,null,Carbide Set,LOADINGSCREEN,RELEASED
157,Carbon,Precision built carbon fiber glider.,UNCOMMON,carbon,null,null,3,39,null,null,0,0.00,null,null,Black Vector Set,GLIDER,RELEASED
158,Carbon and Gold,Show your style.,RARE,carbon-and-gold,null,null,7,74,null,null,0,0.00,null,null,null,WRAP,RELEASED
159,Care Package,Surgically precise.,EPIC,care-package,null,null,0,0,Triage Trooper,null,0,0.00,null,null,Support Squadron,BACKBLING,RELEASED
160,Carrot Stick,Give 'em 3-5 servings.,RARE,carrot-stick,null,null,0,0,null,null,800,0.00,null,null,Pastel Patrol Set,HARVESTINGTOOL,RELEASED
161,Carver,Honed for the harvest.,RARE,carver,null,null,0,0,null,null,800,0.00,null,null,Pumpkin Patch,HARVESTINGTOOL,RELEASED
162,Castor,The wandering warlock of Wailing Woods.,EPIC,castor,null,castor,0,0,null,null,1500,0.00,null,null,Arcane Arts Set,OUTFIT,RELEASED
163,Cat's Claw,Scratch and slash.,RARE,cats-claw,null,null,0,0,null,null,800,0.00,null,null,Bushido Set,HARVESTINGTOOL,RELEASED
164,Catalyst,Rugged and ready.,EPIC,catalyst,null,null,0,0,Rogue Agent,Fortnite Starter Pack,0,0.00,null,null,Black Vector Set,BACKBLING,RELEASED
165,Celebrate,Express yourself on the battlefield.,UNCOMMON,celebrate,null,null,4,97,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
166,Chalk Outline,Leave your mark.,UNCOMMON,chalk-outline,null,null,4,29,null,null,0,0.00,null,null,null,SPRAY,RELEASED
167,Checker,Always in service.,UNCOMMON,checker,null,null,0,0,null,null,500,0.00,null,null,Racer Royale Set,GLIDER,RELEASED
168,Chef's Choice,Perfectly sliced.,RARE,chefs-choice,null,null,0,0,Sushi Master,null,0,0.00,null,null,Sushi Set,BACKBLING,RELEASED
169,Chicken,Top of the pecking order.,RARE,chicken,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
170,Chicken,Express yourself on the battlefield.,UNCOMMON,chicken,null,null,4,52,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
171,Chomp Jr.,They're going to need a bigger fort.,EPIC,chomp-jr,null,null,0,0,null,null,1500,0.00,null,null,Chomp Set,HARVESTINGTOOL,RELEASED
172,Chomp Sr.,Take a bite out of victory.,LEGENDARY,chomp-sr,chomp-sr,chomp-sr,0,0,null,null,2000,0.00,null,null,Chomp Set,OUTFIT,RELEASED
173,Chompmasters,Showcase art for the Divemasters and Chomp sets,UNCOMMON,chompmasters,chompmasters,null,6,65,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
174,Chopper,No one crosses Chopper and rides away.,RARE,chopper,chopper,chopper,0,0,null,null,1200,0.00,null,null,Biker Brigade Set,OUTFIT,RELEASED
175,Chromium,Solid to the core.,RARE,chromium,chromium,chromium,0,0,null,null,1200,0.00,null,null,Solid Steel Set,OUTFIT,RELEASED
176,Cipher,Decoding the opposition's weakness.,RARE,cipher,cipher,cipher,0,0,null,null,1200,0.00,null,null,Overclocked Set,OUTFIT,RELEASED
177,Circle,Leave your mark.,UNCOMMON,circle,null,null,4,34,null,null,0,0.00,null,null,null,SPRAY,RELEASED
178,Circuit Breaker,The deadliest keyword cowboy in the west.,RARE,circuit-breaker,circuit-breaker,circuit-breaker,0,0,null,null,1200,0.00,null,null,Overclocked Set,OUTFIT,RELEASED
179,Clapping,Express yourself on the battlefield.,UNCOMMON,clapping,null,null,2,5,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
180,Click,Jump for joy,UNCOMMON,click,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
